type,name,smiles
catalyst,ni(p(cy)3)2cl2,C1CCC(P(C2CCCCC2)C2CCCCC2)CC1.C1CCC(P(C2CCCCC2)C2CCCCC2)CC1.Cl[Ni]Cl
catalyst,ni(p(ph)3)2br2,Br[Ni]Br.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1
catalyst,nicl2.dme-sipr·hcl-nhc,CC(C)c1cccc(C(C)C)c1N1C=[N+](c2c(C(C)C)cccc2C(C)C)CC1.COCCOC.Cl[Ni]Cl.[Cl-]
catalyst,p(o-tol)3-pd-g2,Cc1ccccc1P(c1ccccc1C)c1ccccc1C.Nc1ccccc1-c1ccccc1[Pd]Cl
catalyst,p(tbu)3-pd-g4,C[NH+]1c2ccccc2-c2ccccc2[Pd-2]1(OS(C)(=O)=O)[P+](C(C)(C)C)(C(C)(C)C)C(C)(C)C
catalyst,pcy3-pd-g4,C1CCC(P(C2CCCCC2)C2CCCCC2)CC1.CNc1ccccc1-c1ccccc1[Pd]OS(C)(=O)=O
catalyst,pd(oac)2,C(O[Pd]OC(C)=O)(C)=O
catalyst,pd(oac)2-2g-xphos,C(O[Pd]OC(C)=O)(C)=O
catalyst,pd(oac)2-binap,CC(=O)O[Pd]OC(C)=O.c1ccc(P(c2ccccc2)c2ccc3ccccc3c2-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)cc1
catalyst,pd(oac)2-bipyphos,CC(=O)O[Pd]OC(C)=O.CC(C)(C)P(c1ccnn1-c1c(-c2ccccc2)nn(-c2ccccc2)c1-c1ccccc1)C(C)(C)C
catalyst,pd(oac)2-brettphos,CC(=O)O[Pd]OC(C)=O.COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C
catalyst,pd(oac)2-catacxium-a,CC(=O)O[Pd]OC(C)=O.CCCCP([C@]12C[C@@H]3C[C@H](C[C@@H](C3)C1)C2)[C@]12C[C@H]3C[C@@H](C[C@H](C3)C1)C2
catalyst,pd(oac)2-catacxium-pintb,CC(=O)O[Pd]OC(C)=O.CC(C)(C)P(c1cc2ccccc2n1-c1ccccc1)C(C)(C)C
catalyst,pd(oac)2-cy-vbridp,CC(=C(c1ccccc1)c1ccccc1)P(C1CCCCC1)C1CCCCC1.CC(=O)O[Pd]OC(C)=O
catalyst,pd(oac)2-ipr-bippyphos,CC(=O)O[Pd]OC(C)=O.CC(C)P(c1ccnn1-c1c(-c2ccccc2)nn(-c2ccccc2)c1-c1ccccc1)C(C)C
catalyst,pd(oac)2-johnphos,CC(=O)O[Pd]OC(C)=O.CC(C)(C)P(c1ccccc1-c1ccccc1)C(C)(C)C
catalyst,pd(oac)2-nhc3,CC(=O)O[Pd]OC(C)=O.CC(C)c1cccc(C(C)C)c1-n1cc[n+](-c2c(C(C)C)cccc2C(C)C)c1.[Cl-]
catalyst,pd(oac)2-qphos,CC(=O)O[Pd]OC(C)=O.CC(C)(C)P(C1CCCC1)C(C)(C)C.[Fe].c1ccc(C2C(c3ccccc3)C(c3ccccc3)C(c3ccccc3)C2c2ccccc2)cc1
catalyst,pd(oac)2-r-josiphos-sl-j003-1,C1CCCC1.CC(=O)O[Pd]OC(C)=O.C[C@H](C1CCCC1P(C1CCCCC1)C1CCCCC1)P(C1CCCCC1)C1CCCCC1.[Fe]
catalyst,pd(oac)2-r-josiphos-sl-j004-1,C1CCCC1.CC(=O)O[Pd]OC(C)=O.C[C@H](C1CCCC1P(C1CCCCC1)C1CCCCC1)P(c1ccccc1)c1ccccc1.[Fe]
catalyst,pd(oac)2-r-josiphos-sl-j006-1,C1CCCC1.CC(=O)O[Pd]OC(C)=O.C[C@H](C1CCCC1P(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1)P(C1CCCCC1)C1CCCCC1.[Fe]
catalyst,pd(oac)2-s-phos,CC(=O)O[Pd]OC(C)=O.COc1cccc(OC)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1
catalyst,pd(oac)2-t-budavephos,CC(=O)O[Pd]OC(C)=O.CN(C)c1ccccc1-c1ccccc1P(C(C)(C)C)C(C)(C)C
catalyst,pd(oac)2-tbubinap,CC(=O)O[Pd]OC(C)=O.CC(C)(C)P(c1ccc2ccccc2c1-c1cccc2ccccc12)C(C)(C)C
catalyst,pd(oac)2-tbumephos,CC(=O)O[Pd]OC(C)=O.Cc1ccccc1-c1ccccc1P(C(C)(C)C)C(C)(C)C
catalyst,pd(oac)2-tbuxphos,CC(=O)O[Pd]OC(C)=O.CC(C)c1cc(C(C)C)c(-c2ccccc2P(C(C)(C)C)C(C)(C)C)c(C(C)C)c1
