"ELN_ID","PLATENUMBER","Coordinate","AREA_TOTAL_REDUCED","Base","Catalyst","Solvent","Ligand","Additive","Coupling Reagent","Secondary Solvent","Tertiary Solvent","Reaction Type","FG A","FG B","FG_sorted","z-Score","output_column"
"ELN032036-322",1,"G11",0,"K2HPO4",,"MeCN","No Ligand",,,,,"Addition","Alkyl-H acidic","RCN","Alkyl-H acidic, RCN",-0.4,
"ELN032036-323",1,"G11",0,,"MorDalphos Pd G3","1-Octanol","MorDalphos","Octanoic acid, TMSCl",,"Brij 35","water","Negishi, in-situ","ArCl","ArBr","ArBr, ArCl",-0.37,
"ELN032036-325",1,"G11",1.07,,"XPhos Pd(crotyl)Cl","DMSO","XPhos","Potassium 2-ethylhexanoate",,,,"Suzuki-Miyaura, in situ","ArBr","alkene-I","alkene-I, ArBr",-0.55,"20 h at 50 °C"
"ELN032036-331",1,"G11",27.65,,"AmPhos2PdCl2","acetone","AmPhos","TMSCl",,,,"Suzuki-Miyaura, in situ","ArCl","ArBr","ArBr, ArCl",2.67,"48 h at 45 °C"
"ELN032036-331",2,"G11",0,,"triisobutylphosphatrane Pd G6","MeTHF","triisobutylphosphatrane","1,2-dibromoethane",,,,"Suzuki-Miyaura, in situ","ArCl","ArBr","ArBr, ArCl",-0.5,
"ELN032036-333",1,"G11",0,"KOH","RockPhos Pd G3","Dioxane","RockPhos",,,"water",,"Hydrolysis","ArCl","ArCl","ArCl, ArCl",-0.32,
"ELN032036-334",1,"G11",0,"Cs2CO3","AlphosPd)2cod","MeCN","AlPhos",,,,,"Buchwald-Hartwig","R2NH a-branch","ArBr","ArBr, R2NH a-branch",-0.75,
"ELN032036-334",2,"G11",84.17,"NaOtBu","Pd-PEPPSI-IPent Cl o-picoline","tAmOH","IPENT Cl",,,,,"Buchwald-Hartwig","R2NH a-branch","ArBr","ArBr, R2NH a-branch",3.37,"3.5 h at 80 °C"
"ELN032036-334",3,"G11",31.72,"NaOtBu","PEPPSI-IPENT","anisole","IPent",,,,,"Buchwald-Hartwig","R2NH a-branch","ArBr","ArBr, R2NH a-branch",0.81,"2.5 h at 60 °C, then 15.5 h at 80 °C"
"ELN032036-334",4,"G11",0,"Cs2CO3","triisobutylphosphatrane Pd G6","MeCN","triisobutylphosphatrane",,,,,"Buchwald-Hartwig","R2NH a-branch","ArBr","ArBr, R2NH a-branch",-0.75,
"ELN032036-334",5,"G11",0,"NaH","CX31","PhMe","SIPr",,,,,"Buchwald-Hartwig","R2NH a-branch","ArBr","ArBr, R2NH a-branch",-0.75,
