reaction_type,reaction_category,yield,z_score,reactant_1,reactant_2,catalyst,ligand,base,solvent,additive
Cn_Coupling,C-N Coupling,32.48,0.67,Ar-NH2,Ar-Br,XantPhos Pd(allyl)Cl,XantPhos,K3PO4,"PhMe, water",
Cn_Coupling,C-N Coupling,27.16,0.4,Ar-NH2,Ar-Br,(R)-BINAP Pd(allyl)Cl,BINAP,NaOtBu,PhMe,
Amide_Formation,,12.22,-1.86,R2CH-NHR,R-CO2H,,No Ligand,NMM,DCM,"HOSu, EDC"
Amide_Formation,,89.56,0.91,R2CH-NHR,R-CO2H,,No Ligand,,"PhMe, xylenes","HOPO, DIC"
Amide_Formation,,83.66,0.7,R2CH-NHR,R-CO2H,,No Ligand,,"acetone, PhMe","HOPO, DIC"
Amide_Formation,,25.71,-1.37,R2CH-NHR,R-CO2H,,No Ligand,,"anisole, DMI",DIC
Amide_Formation,,72.59,0.3,R2CH-NHR,R-CO2H,,No Ligand,,"DMI, iPrOAc","HOPO, DIC"
Suzuki_Miyaura,,0,-1.07,Ar-I,Ar-B(OR)2,PPh3)2PdCl2,PPh3,K3PO4,"PhMe, water",
Suzuki_Miyaura,,25.09,0.71,Ar-I,Ar-B(OR)2,XantPhos Pd(allyl)Cl,XantPhos,K3PO4,"Dioxane, water",
Amide_Formation,,2.62,-1.65,R-NH2,R-NH2,,No Ligand,NMM,TBME,"HOSu, EDC"
Amide_Formation,,59.37,0.34,R-NH2,R-NH2,,No Ligand,,tAmOH,"HOSu, DIC"
Amide_Formation,,79.05,1.03,R-NH2,R-NH2,,No Ligand,,tAmOH,"HOSu, DIC"
Amide_Formation,,78.69,1.02,R-NH2,R-NH2,,No Ligand,,tAmOH,"HOSu, DIC"
Amide_Formation,,68.71,0.67,R-NH2,R-NH2,,No Ligand,,tAmOH,"HOSu, DIC"
Suzuki_Miyaura,,73.91,0.53,Ar-Br,Ar-B(OH)2,dppfPdCl2,dppf,K3PO4,"iPrOAc, water",
Cn_Coupling,C-N Coupling,8.94,-0.36,Ar-Br,R-CONH2,CuI,trans-NN-Dimethylcyclohexane-12-diamine,Cs2CO3,tAmOH,water
Hydration,,20.37,0.94,R-CN,R-CN,,No Ligand,Na2CO3,"anisole, water",TBAHS
Cn_Coupling,C-N Coupling,0,-0.56,Ar-Br,R-NHR,RuPhos Pd G4,RuPhos,Cs2CO3,MeCN,water
Suzuki_Miyaura,,40.8,1.25,Ar-Cl,Ar-B(OR)2,dppfPdCl2,dppf,Cs2CO3,PhMe,water
Suzuki_Miyaura,,90.89,-0.17,Ar-Br,Alkenyl-B(OR)2,PPh3)2PdCl2,PPh3,K3PO4,"iPrOH, water",
Cn_Coupling,C-N Coupling,3.15,-0.86,Ar-NH2,Ar-Cl,QPhos Pd(crotyl)Cl,QPhos,Cs2CO3,MeCN,water
Cn_Coupling,C-N Coupling,73.64,1,Ar-NH2,Ar-Cl,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,Cs2CO3,MeCN,water
Suzuki_Miyaura,,17.17,-2.01,Ar-Cl,Ar-B(OH)2,dtbpfPdCl2,dtbpf,Li2CO3,iPrOH,water
Suzuki_Miyaura,,23.02,-0.22,Ar-Cl,Ar-B(OH)2,dtbpfPdCl2,dtbpf,Li2CO3,anisole,water
Cn_Coupling,C-N Coupling,21.84,0.75,Ar-Br,AromN-H,tBuXPhos Pd G3,tBuXPhos,K3PO4,"Dioxane, water",
Amide_Formation,,60.53,0.39,Ar-NH2,R-CO2H,,No Ligand,NEt3,MeCN,"HOPO, T3P"
Amide_Formation,,57.85,0.31,Ar-NH2,R-CO2H,,No Ligand,NMM,MeCN,"HOPO, DIC"
Amide_Formation,,90.22,1.3,Ar-NH2,R-CO2H,,No Ligand,NEt3,MeCN,"HOPO, DIC"
Amide_Formation,,88.85,1.26,Ar-NH2,R-CO2H,,No Ligand,NEt3,MeCN,"HOPO, DIC"
Amide_Formation,,67.11,0.59,Ar-NH2,R-CO2H,,No Ligand,NEt3,MeCN,"HOPO, DIC"
Cn_Coupling,C-N Coupling,52.41,3.31,Ar-Cl,R2CH-NHR,RuPhos Pd(crotyl)Cl,RuPhos,NaOtBu,PhMe,
Cn_Coupling,C-N Coupling,0.96,-1.26,AromN-H,Ar-Br,CuI,No Ligand,K3PO4,DMSO,
Cn_Coupling,C-N Coupling,13.08,-0.81,Ar-NH2,Ar-Cl,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,K3PO4,"tAmOH, water",
Cn_Coupling,C-N Coupling,0,-0.44,Ar-Cl,R2CH-NHR,dpppPdCl2,dppp,NaOtBu,PhMe,
Cn_Coupling,C-N Coupling,36.48,0.36,Ar-Br,Ar-NH2,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,Cs2CO3,MeTHF,water
Glycosidation,,27.32,-0.44,RCH2-OH,R-Ester,,No Ligand,,DMF,
Glycosidation,,41.82,0.22,RCH2-OH,R-Ester,,No Ligand,,anisole,
Cn_Coupling,C-N Coupling,25.44,-0.72,Ar-Cl,Ar-NH2,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,Cs2CO3,Dioxane,water
Cn_Coupling,C-N Coupling,16,-1.17,AromN-H,Ar-Br,CuI,(R)-Binap,K3PO4,DMSO,
Cn_Coupling,C-N Coupling,85.07,1.57,Ar-Br,R2CH-NH2,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,NaOtBu,PhMe,
Suzuki_Miyaura,,6.27,1.37,Ar-B(OH)2,R-CONHR,dtbpfPdCl2,dtbpf,"DBU, Na2CO3","MeCN, water",PyClOP
Cn_Coupling,C-N Coupling,30.5,-0.79,Ar-Br,R2CH-NH2,XPhos Pd G2,XPhos,Cs2CO3,Dioxane,
Cn_Coupling,C-N Coupling,89.8,1.23,Ar-Cl,Ar-NH2,tBuXPhos Pd G3,tBuXPhos,K3PO4,"MeCN, water",
Hydrolysis,,0,-0.72,Ar-Br,Ar-Br,CuI,BHMPO,K3PO4,"MeTHF, water",benzaldehyde oxime
Hydrolysis,,49.1,1.25,Ar-Br,Ar-Br,RockPhos Pd G3,RockPhos,CsOH.H2O,anisole,benzaldehyde oxime
Hydrolysis,,0,-0.72,Ar-Br,Ar-Br,Me4tBuXPhos Pd G3,Me4tBuXPhos,Cs2CO3,tAmOH,B(OH)3
Cn_Coupling,C-N Coupling,84.34,1.88,Ar-NH2,Ar-Cl,AlphosPd)2cod,AlPhos,Cs2CO3,MeCN,water
Cn_Coupling,C-N Coupling,51.6,0.41,Ar-Br,R-NHR,QPhos Pd(crotyl)Cl,QPhos,NaOtBu,tAmOH,
Cn_Coupling,C-N Coupling,0,-0.37,Ar-NH2,Ar-Br,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,K3PO4,"tAmOH, water",
Condensation,,0,-0.26,R-Carbamate,R2CH-NH2,,No Ligand,K3PO4,"anisole, water","HOSu, DIC"
Amide_Formation,,100,1.92,R-CO2H,R2CH-NH2,,No Ligand,DBU,THF,"HOPO, DIC"
Amide_Formation,,0,-0.7,R-CO2H,R2CH-NH2,,No Ligand,DBU,,"HOPO, DIC"
Cn_Coupling,C-N Coupling,59.8,1.19,AromN-H,Ar-Cl,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,K3PO4,"tAmOH, water",
Suzuki_Miyaura,,100,1.99,Alkenyl-B(OR)2,Ar-Br,PPh3)2PdCl2,PPh3,K3PO4,"EtOH, PhMe",
Suzuki_Miyaura,,59.82,0.48,Alkenyl-B(OR)2,Ar-Br,XPhos Pd G2,XPhos,K3PO4,"ethylene glycol, water",
Stannylation,,54.8,2.66,Ar-Br,R-Sn,PPh3)2PdCl2,PPh3,,Dioxane,
