material_id,condition_group_id,centroid_similarity,assignment_margin,assignment_status,observation_count,exact_recipe_id_count,condition_display,parse_warnings
CMAT1:00a262c44b64c0fdfc7d20b55ea352d6a636db0467906077372a09039f67e0bf,CGPOC1:790925c3f0ac14d309541f4422607c04817106804bdd6a7d731e01775c06a3a6,0.921005,0.075039,supported,4,2,Na2CO3 [base]; BrettPhos Pd(crotyl)OTf [catalyst]; BrettPhos [ligand]; anisole [solvent],
CMAT1:00a969df89960d204b70c0c37c668533feb6cbc7ba237d8d213a62a58a56f87c,CGPOC1:549505353c483621782c2b65eda6b33642b05128be757eab2355987d2e52bb1d,0.886389,0.104126,provisional,9,5,Sodium trifluoroacetate [additive]; DBU [base]; XantPhos Pd(allyl)Cl [catalyst]; XantPhos [ligand]; PhMe [solvent],
CMAT1:00b3d48fc222bbab318c02a90c3c389a2ac3c4b274421c5d13f08f05310e6b4a,CGPOC1:eda9ecc0e2fdf4d63a9da9794e6b94e4188d5753039cb8e90026297165a83422,0.984173,0.054228,supported,3,3,K3PO4 [base]; tBuXPhos Pd(allyl)OTf [catalyst]; Me4tBuXPhos [ligand]; DMAc [solvent]; water [solvent],
CMAT1:00ba29d94aa5959712ba8435264bbd0e87c92832261d67e2a78915d45af1bdb0,CGPOC1:12b2abd7c87b98d2604befccc2bea741eb55e5e4026bf6f1d37b9d1baaaa4432,0.922631,0.212786,supported,1,1,LiBr [additive]; TMPMgCl.LiCl [base]; di-IodobisP(tBu)3 Pd2 [catalyst]; Dioxane [solvent]; No ligand,
CMAT1:00bb4e34f5773122c4fbf819ee8969166a0cecdb4cc072e10bad92aaa89f9cfb,CGPOC1:85ed1d9c5ba45283aa2b77bed60049c610b52e37a09d3815dc025bcab0dbbbf8,0.861684,0.045025,provisional,1,1,TBAC [additive]; DIPEA [base]; [Pd(allyl)(RockPhos)]OTf [catalyst]; RockPhos [ligand]; BnOH [solvent],
CMAT1:00bd60afa70537046e173eda621a6cad3d17637fd96e58854bf38705f8e72983,CGPOC1:d2eec8a9bdd32424145dbb27a6f0c03f7a9b43cfd48290f311a3bd83f42f3c54,0.93771,0.047348,provisional,1,1,TBAB [additive]; RuPhos Pd(crotyl)Cl [catalyst]; RuPhos [ligand]; MeTHF [solvent],
CMAT1:00c1794490aea3e0a2ded3a5c2653e75d943698fdcda19a07cff5bac8ca6dd7f,CGPOC1:538c4217b68ece9dcccdb220201d404d342808b3d1e11b42aff4c11459f3c98f,0.945476,0.112912,supported,1,1,TBAB [additive]; DBU [base]; PyBrOP [coupling_reagent]; No ligand,
CMAT1:00cddfa3b3ca3af6a64a01d141dc4479e5f0b2e7b895addff402b30ff2398d5a,CGPOC1:042d9126ef4be45169b267f8f8bbeb1b25da1d811a2394220b30bd9b5435424e,0.926909,0.047003,provisional,1,1,Na2CO3 [base]; SPhos Pd(crotyl)Cl [catalyst]; SPhos [ligand]; EtOH [solvent],
CMAT1:00ced30e963545c1af9f81c476c2077479c39c33f7e40290a37890236858d44c,CGPOC1:761f0ee19dbefb182630686dbdfff964e419f86d842de4b4b13fdd58bc18b31b,0.957912,0.153808,supported,1,1,water [additive]; Cs2CO3 [base]; Pd-PEPPSI-IPent Cl o-picoline [catalyst]; IPENT Cl [ligand]; MeOH [solvent],
CMAT1:00d693439879c7013aa5704710ce9e6c58f88f283f6bb027b7b1a2fa07e9ea5f,CGPOC1:b457415d3d2e5275b6fe14128bc67522d20f542d69e4e1168e2f638ad1a11aa5,0.876762,0.079187,provisional,12,4,NaOtBu [base]; CPME [solvent]; PhMe [solvent]; No ligand,
