Reaction_Type_Standardized,Is_Intramolecular,Reactant_A_Type,Reactant_B_Type,Reactant_Types_Key,yield,smiles,Catalyst,Ligand,Base,Solvent,Additive,Coupling Reagent,Secondary Solvent,z-Score
Any-Hydrazine|Ar-CHO|Ar-Cl|Ar-Hydrazine|Ar-OH -> Ar-Imino|Ar-NHR|Ar-OR || Ar-Br|Ar-Cl|Quinoline,False,"Ar-Cl,Ar-OH","Ar-Cl,Ar-CHO,Quinoline","Ar-Cl,Ar-CHO,Quinoline|Ar-Cl,Ar-OH",76.0,Oc1ccc(Cl)cc1.O=Cc1cc2ccccc2nc1Cl.NNc1ccc(Br)cc1>>Clc1ccc(Oc2nc3ccccc3cc2C=NNc2ccc(Br)cc2)cc1,HOAc,,K2CO3,DMF / MeOH,,,,-0.3268585760827295
Any-Hydrazine|Ar-CHO|Ar-Cl|Ar-Hydrazine|Ar-OH -> Ar-Imino|Ar-NHR|Ar-OR || Ar-Br|Ar-Cl|Quinoline,False,"Ar-Cl,Ar-OH","Ar-Cl,Ar-CHO,Quinoline","Ar-Cl,Ar-CHO,Quinoline|Ar-Cl,Ar-OH",73.0,Oc1cccc(Cl)c1.O=Cc1cc2ccccc2nc1Cl.NNc1ccc(Br)cc1>>Clc1cccc(Oc2nc3ccccc3cc2C=NNc2ccc(Br)cc2)c1,HOAc,,K2CO3,DMF / MeOH,,,,-0.6834315681729799
Any-Hydrazine|Ar-CHO|Ar-Cl|Ar-Hydrazine|Ar-OH -> Ar-Imino|Ar-NHR|Ar-OR || Ar-Br|Ar-R|Quinoline,False,"Ar-R,Ar-OH","Ar-Cl,Ar-CHO,Quinoline","Ar-Cl,Ar-CHO,Quinoline|Ar-R,Ar-OH",73.0,Cc1ccccc1O.O=Cc1cc2ccccc2nc1Cl.NNc1ccc(Br)cc1>>Cc1ccccc1Oc1nc2ccccc2cc1C=NNc1ccc(Br)cc1,HOAc,,K2CO3,DMF / MeOH,,,,-1.0025514894762724
Any-Hydrazine|Ar-CHO|Ar-Cl|Ar-Hydrazine|Ar-OH -> Ar-Imino|Ar-NHR|Ar-OR || Ar-Br|Ar-Cl|Quinoline,False,"Ar-Cl,Ar-OH","Ar-Cl,Ar-CHO,Quinoline","Ar-Cl,Ar-CHO,Quinoline|Ar-Cl,Ar-OH",70.0,Oc1ccccc1Cl.O=Cc1cc2ccccc2nc1Cl.NNc1ccc(Br)cc1>>Clc1ccccc1Oc1nc2ccccc2cc1C=NNc1ccc(Br)cc1,HOAc,,K2CO3,DMF / MeOH,,,,-1.0400045602632302
Any-Hydrazine|Ar-CHO|Ar-Cl|Ar-Hydrazine|Ar-OH -> Ar-Imino|Ar-NHR|Ar-OR || Ar-Br|Ar-Cl|Quinoline,False,"Ar-Cl,Ar-OH","Ar-Cl,Ar-CHO,Quinoline","Ar-Cl,Ar-CHO,Quinoline|Ar-Cl,Ar-OH",77.0,Oc1ccc(Cl)cc1Cl.O=Cc1cc2ccccc2nc1Cl.NNc1ccc(Br)cc1>>Clc1ccc(Oc2nc3ccccc3cc2C=NNc2ccc(Br)cc2)c(Cl)c1,HOAc,,K2CO3,DMF / MeOH,,,,-0.20800091205264604
Any-Hydrazine|Ar-CHO|Ar-Cl|Ar-Hydrazine|Ar-OH -> Ar-Imino|Ar-NHR|Ar-OR || Ar-Br|Ar-OR|Quinoline,False,"Ar-OH,Ar-OR","Ar-Cl,Ar-CHO,Quinoline","Ar-Cl,Ar-CHO,Quinoline|Ar-OH,Ar-OR",79.0,COc1cccc(OC)c1O.O=Cc1cc2ccccc2nc1Cl.NNc1ccc(Br)cc1>>COc1cccc(OC)c1Oc1nc2ccccc2cc1C=NNc1ccc(Br)cc1,HOAc,,K2CO3,DMF / MeOH,,,,0.7071067811865475
Any-Hydrazine|Ar-CHO|Ar-Cl|Ar-Hydrazine|Ar-OH -> Ar-Imino|Ar-NHR|Ar-OR || Ar-Br|Ar-R|Quinoline,False,"Ar-R,Ar-OH","Ar-Cl,Ar-CHO,Quinoline","Ar-Cl,Ar-CHO,Quinoline|Ar-R,Ar-OH",72.0,CC(C)(C)c1ccc(O)cc1.O=Cc1cc2ccccc2nc1Cl.NNc1ccc(Br)cc1>>CC(C)(C)c1ccc(Oc2nc3ccccc3cc2C=NNc2ccc(Br)cc2)cc1,HOAc,,K2CO3,DMF / MeOH,,,,-1.1991302129029928
Any-Hydrazine|Ar-CHO|Ar-Cl|Ar-Hydrazine|Ar-OH -> Ar-Imino|Ar-NHR|Ar-OR || Ar-Br|Quinoline,False,"Ar-Br,Ar-OH","Ar-Cl,Ar-CHO,Quinoline","Ar-Br,Ar-OH|Ar-Cl,Ar-CHO,Quinoline",74.0,Oc1ccc(Br)cc1.O=Cc1cc2ccccc2nc1Cl.NNc1ccc(Br)cc1>>Brc1ccc(NN=Cc2cc3ccccc3nc2Oc2ccc(Br)cc2)cc1,HOAc,,K2CO3,DMF / MeOH,,,,-0.7071067811865475
Any-Hydrazine|Ar-CHO|Ar-Cl|Ar-Hydrazine|Ar-OH -> Ar-Imino|Ar-NHR|Ar-OR || Ar-Br|Ar-R|Quinoline,False,"Ar-R,Ar-OH","Ar-Cl,Ar-CHO,Quinoline","Ar-Cl,Ar-CHO,Quinoline|Ar-R,Ar-OH",81.0,Cc1ccc(O)c(C)c1.O=Cc1cc2ccccc2nc1Cl.NNc1ccc(Br)cc1>>Cc1ccc(Oc2nc3ccccc3cc2C=NNc2ccc(Br)cc2)c(C)c1,HOAc,,K2CO3,DMF / MeOH,,,,0.57007829793749
Any-Hydrazine|Ar-CHO|Ar-Cl|Ar-Hydrazine|Ar-OH -> Ar-Imino|Ar-NHR|Ar-OR || Ar-Br|Ar-R|Quinoline,False,"Ar-R,Ar-OH","Ar-Cl,Ar-CHO,Quinoline","Ar-Cl,Ar-CHO,Quinoline|Ar-R,Ar-OH",80.0,Cc1cccc(O)c1.O=Cc1cc2ccccc2nc1Cl.NNc1ccc(Br)cc1>>Cc1cccc(Oc2nc3ccccc3cc2C=NNc2ccc(Br)cc2)c1,HOAc,,K2CO3,DMF / MeOH,,,,0.3734995745107697
Ar-Br|Ar-OH -> Ar-OR || Ar-CO2H|Ar-F|R-AromN,False,"Ar-F,Ar-OH","Ar-Br,Ar-CO2H,R-AromN","Ar-Br,Ar-CO2H,R-AromN|Ar-F,Ar-OH",83.0,Oc1ccc(F)cc1F.CC(C)Cn1ncc2cc(Br)c(C(=O)O)cc21>>CC(C)Cn1ncc2cc(Oc3ccc(F)cc3F)c(C(=O)O)cc21,CuBr,,NaOtBu,THF / PhMe / water,NH4Cl,,,0.0
Ar-B(OH)2|Ar-Br|Ar-F|RCH2-OH -> Ar-Ar|Ar-OR || Ar-R|Pyridine|R-F|R3C-NH2,False,"R3C-NH2,RCH2-OH","Ar-R,Ar-Br,Ar-F,R-F,Pyridine","Ar-R,Ar-Br,Ar-F,R-F,Pyridine|R3C-NH2,RCH2-OH",74.0,CC(C)C[C@](C)(N)CO.Fc1cnc(Br)cc1C(F)F.Cc1cc(B(O)O)ccn1>>Cc1cc(-c2cc(C(F)F)c(OC[C@@](C)(N)CC(C)C)cn2)ccn1,95464-05-4,,KOtBu / Na2CO3,"THF / 1,4-Dioxane",water,,,0.0
Ar-Cl|Ar-OH -> Ar-OR || Ar-Cl|Ar-R|Bn-CONHR|Pyrimidine|R-H-acidic|Thiophene,False,"Ar-R,Ar-Cl,Pyrimidine","R-H-acidic,Ar-OH,Bn-CONHR,Thiophene","Ar-R,Ar-Cl,Pyrimidine|R-H-acidic,Ar-OH,Bn-CONHR,Thiophene",96.0,Cc1cc(Cl)nc(Cl)n1.O=C(Cc1cccs1)Nc1ccc(O)cc1>>Cc1cc(Oc2ccc(NC(=O)Cc3cccs3)cc2)nc(Cl)n1,KI,,K2CO3,EtOH,,,,0.0
Ar-Cl|Ar-OH -> Ar-OR || Ar-CONHR|Ar-Cl|Ar-R|AromN-H|Indole|Pyrimidine,False,"Ar-R,Ar-Cl,Pyrimidine","AromN-H,Ar-OH,Ar-CONHR,Indole","Ar-R,Ar-Cl,Pyrimidine|AromN-H,Ar-OH,Ar-CONHR,Indole",83.0,Cc1cc(Cl)nc(Cl)n1.O=C(Nc1ccc(O)cc1)c1c[nH]c2ccccc12>>Cc1cc(Oc2ccc(NC(=O)c3c[nH]c4ccccc34)cc2)nc(Cl)n1,KI,,K2CO3,EtOH,,,,0.0
Ar-Cl|Bn-OH -> Bn-OR || Ar-CO2H|Ar-NO2,False,Bn-OH,"Ar-Cl,Ar-NO2,Ar-CO2H","Ar-Cl,Ar-NO2,Ar-CO2H|Bn-OH",84.0,OCc1ccccc1.O=C(O)c1cc(Cl)c([N+](=O)[O-])cc1[N+](=O)[O-]>>O=C(O)c1cc(OCc2ccccc2)c([N+](=O)[O-])cc1[N+](=O)[O-],TBAB,,KOH,100-51-6 / water,,,,0.0
Ar-Cl|RCH2-OH -> Ar-OR || Ar-CO2H|Ar-NO2,False,RCH2-OH,"Ar-Cl,Ar-NO2,Ar-CO2H","Ar-Cl,Ar-NO2,Ar-CO2H|RCH2-OH",85.0,CO.O=C(O)c1cc(Cl)c([N+](=O)[O-])cc1[N+](=O)[O-]>>COc1cc(C(=O)O)c([N+](=O)[O-])cc1[N+](=O)[O-],TBAB,,KOH,MeOH / water,,,,0.0
Ar-I|Ar-NH2|Ar-OH -> Ar-NHR|Ar-OR|Ar-R || Ar-R,False,"Ar-R,Ar-NH2","Ar-R,Ar-OH","Ar-R,Ar-NH2|Ar-R,Ar-OH",88.0,Cc1cc(C)c(N)c(C)c1.CC(C)(C)c1ccccc1O.Cc1ccccc1I>>Cc1cc(C)c(Nc2ccccc2C)c(C)c1.Cc1ccccc1Oc1ccccc1C(C)(C)C,CuI,2488482-67-1,,DMSO,,,,0.0
Ar-I|Ar-OH -> Ar-OR || Ar-R,False,"Ar-R,Ar-OH","Ar-R,Ar-I","Ar-R,Ar-I|Ar-R,Ar-OH",74.0,CC(C)(C)c1ccccc1O.Cc1ccccc1I>>Cc1ccccc1Oc1ccccc1C(C)(C)C,CuI,2488482-67-1,,DMSO,,,,-1.2795556450401189
Ar-Br|Ar-OH -> Ar-OR || Ar-Ar|Ar-R|R-H-acidic|RCH2-SO2R,False,"R-H-acidic,Ar-Br,RCH2-SO2R","Ar-Ar,Ar-R,Ar-OH","Ar-Ar,Ar-R,Ar-OH|R-H-acidic,Ar-Br,RCH2-SO2R",86.0,CS(=O)(=O)c1ccc(Br)cc1.O=c1c(Cc2ccccc2O)c(-c2ccccc2)oc2ccccc12>>CS(=O)(=O)c1ccc(Oc2ccccc2Cc2c(-c3ccccc3)oc3ccccc3c2=O)cc1,CuI,Fe(acac)3,K2CO3,DMSO,,,,0.0
Ar-Br|Ar-OH -> Ar-OR || Ar-Ar|Ar-OR|Ar-R,False,"Ar-Br,Ar-OR","Ar-Ar,Ar-R,Ar-OH","Ar-Ar,Ar-R,Ar-OH|Ar-Br,Ar-OR",92.0,COc1cc(Br)cc(OC)c1OC.O=c1c(Cc2ccccc2O)c(-c2ccccc2)oc2ccccc12>>COc1cc(Oc2ccccc2Cc2c(-c3ccccc3)oc3ccccc3c2=O)cc(OC)c1OC,CuI,Fe(acac)3,K2CO3,DMSO,,,,0.0
Ar-Br|Ar-OH -> Ar-OR || Ar-Ar|Ar-R,False,"Ar-R,Ar-Br","Ar-Ar,Ar-R,Ar-OH","Ar-Ar,Ar-R,Ar-OH|Ar-R,Ar-Br",90.0,CC(C)(C)c1ccc(Br)cc1.O=c1c(Cc2ccccc2O)c(-c2ccccc2)oc2ccccc12>>CC(C)(C)c1ccc(Oc2ccccc2Cc2c(-c3ccccc3)oc3ccccc3c2=O)cc1,CuI,Fe(acac)3,K2CO3,DMSO,,,,0.0
Ar-Br|Ar-OH -> Ar-OR || Ar-Ar|Ar-OH|Ar-R,False,"Ar-Br,Ar-OH","Ar-Ar,Ar-R,Ar-OH","Ar-Ar,Ar-R,Ar-OH|Ar-Br,Ar-OH",81.0,Oc1ccc(Br)cc1.O=c1c(Cc2ccccc2O)c(-c2ccccc2)oc2ccccc12>>O=c1c(Cc2ccccc2Oc2ccc(O)cc2)c(-c2ccccc2)oc2ccccc12,CuI,Fe(acac)3,K2CO3,DMSO,,,,0.0
Ar-Br|Ar-OH -> Ar-OR || Ar-R|Pyridine,False,"Ar-R,Ar-OH","Ar-Br,Pyridine","Ar-Br,Pyridine|Ar-R,Ar-OH",90.0,Cc1ccc(O)cc1.Brc1ccccn1>>Cc1ccc(Oc2ccccn2)cc1,Cu(0),7585-39-9,Cs2CO3,DMF,,,,1.3626419444629037
Ar-Br|Ar-OH -> Ar-OR || Pyridine,False,Ar-OH,"Ar-Br,Pyridine","Ar-Br,Pyridine|Ar-OH",90.0,Oc1ccccc1.Brc1ccccn1>>c1ccc(Oc2ccccn2)cc1,Cu(0),7585-39-9,Cs2CO3,DMF,,,,0.8001452968001802
Ar-Br|Ar-OH -> Ar-OR || Ar-F|Pyridine,False,"Ar-Br,Pyridine","Ar-F,Ar-OH","Ar-Br,Pyridine|Ar-F,Ar-OH",73.0,Brc1ccccn1.Oc1ccc(F)cc1>>Fc1ccc(Oc2ccccn2)cc1,Cu(0),7585-39-9,Cs2CO3,DMF,,,,0.0
Ar-Br|Ar-OH -> Ar-OR || Ar-OR|Pyridine,False,"Ar-Br,Pyridine","Ar-OH,Ar-OR","Ar-Br,Pyridine|Ar-OH,Ar-OR",92.0,Brc1ccccn1.COc1ccc(O)cc1>>COc1ccc(Oc2ccccn2)cc1,Cu(0),7585-39-9,Cs2CO3,DMF,,,,1.125123361590436
Ar-Br|Ar-OH -> Ar-OR || Pyridine,False,Ar-OH,"Ar-Br,Pyridine","Ar-Br,Pyridine|Ar-OH",84.0,Oc1cccc2ccccc12.Brc1ccccn1>>c1ccc(Oc2cccc3ccccc23)nc1,Cu(0),7585-39-9,Cs2CO3,DMF,,,,-0.23788103418383735
Ar-Br|Ar-OH -> Ar-OR || Ar-OR|Pyridine,False,"Ar-OH,Ar-OR","Ar-Br,Pyridine","Ar-Br,Pyridine|Ar-OH,Ar-OR",72.0,COc1ccccc1O.Brc1ccccn1>>COc1ccccc1Oc1ccccn1,Cu(0),7585-39-9,Cs2CO3,DMF,,,,-1.2687561311551712
Ar-Br|Ar-OH -> Ar-OR || Ar-NO2|Pyridine,False,"Ar-NO2,Ar-OH","Ar-Br,Pyridine","Ar-Br,Pyridine|Ar-NO2,Ar-OH",70.0,O=[N+]([O-])c1ccccc1O.Brc1ccccn1>>O=[N+]([O-])c1ccccc1Oc1ccccn1,Cu(0),7585-39-9,Cs2CO3,DMF,,,,0.0
Ar-Br|Ar-OH -> Ar-OR || Ar-CN|Pyridine,False,"Ar-Br,Pyridine","Ar-CN,Ar-OH","Ar-Br,Pyridine|Ar-CN,Ar-OH",80.0,Brc1ccccn1.N#Cc1ccc(O)cc1>>N#Cc1ccc(Oc2ccccn2)cc1,Cu(0),7585-39-9,Cs2CO3,DMF,,,,0.0
Ar-Br|Ar-OH -> Ar-OR || Ar-R|Pyridine,False,"Ar-R,Ar-OH","Ar-Br,Pyridine","Ar-Br,Pyridine|Ar-R,Ar-OH",86.0,CC(C)(C)c1ccc(O)cc1.Brc1ccccn1>>CC(C)(C)c1ccc(Oc2ccccn2)cc1,Cu(0),7585-39-9,Cs2CO3,DMF,,,,0.691802833342705
Ar-Br|Ar-OH -> Ar-OR || Ar-Cl|Pyridine,False,"Ar-Cl,Ar-OH","Ar-Br,Pyridine","Ar-Br,Pyridine|Ar-Cl,Ar-OH",82.0,Oc1ccc(Cl)cc1.Brc1ccccn1>>Clc1ccc(Oc2ccccn2)cc1,Cu(0),7585-39-9,Cs2CO3,DMF,,,,0.0
Ar-Br|Ar-OH -> Ar-OR || Pyridine,False,"Ar-Br,Pyridine",Ar-OH,"Ar-Br,Pyridine|Ar-OH",87.0,Brc1ccccn1.Oc1ccc2ccccc2c1>>c1ccc(Oc2ccc3ccccc3c2)nc1,Cu(0),7585-39-9,Cs2CO3,DMF,,,,0.28113213130817144
Ar-I|Ar-OH -> Ar-OR || Ar-CO2R|Ar-R|Ar-SR|Pyridine,False,Ar-I,"Ar-R,Ar-SR,Ar-OH,Ar-CO2R,Pyridine","Ar-I|Ar-R,Ar-SR,Ar-OH,Ar-CO2R,Pyridine",75.0,Ic1ccccc1.CCC1(C(=O)N=S(C)(=O)c2ccccn2)COC(=O)c2cc(O)ccc2C1>>CCC1(C(=O)N=S(C)(=O)c2ccccn2)COC(=O)c2cc(Oc3ccccc3)ccc2C1,CuI,98-98-6,K3PO4,DMSO,,,,0.0
Ar-Cl|Ar-OH -> Ar-OR || Ar-AromN|Ar-CO2R|Ar-R|Furan|Pyridine,False,"Ar-Cl,Furan,Pyridine","Ar-R,Ar-AromN,Ar-OH,Ar-CO2R","Ar-Cl,Furan,Pyridine|Ar-R,Ar-AromN,Ar-OH,Ar-CO2R",75.0,Clc1nccc2occc12.COC(=O)c1c(C)n(-c2ccc(O)cc2C)c2ccccc12>>COC(=O)c1c(C)n(-c2ccc(Oc3nccc4occc34)cc2C)c2ccccc12,Pd(OAc)2,XPhos,K3PO4,PhMe,,,,0.0
Ar-Cl|Bn-OH -> Bn-OR || Ar-CF3,False,"Ar-Cl,Ar-CF3",Bn-OH,"Ar-Cl,Ar-CF3|Bn-OH",74.0,FC(F)(F)c1ccc(Cl)cc1.OCc1ccccc1>>FC(F)(F)c1ccc(OCc2ccccc2)cc1,NiBr2(dme),17217-57-1,DBU,DMF,TBACl,,,0.0
Ar-Cl|Bn-OH -> Bn-OR || Ar-Alkenyl|Ar-R|Pyridine|R-C=C|R-Carbamate_NR,False,Bn-OH,"Ar-Alkenyl,Ar-R,Ar-Cl,R-Carbamate_NR,R-C=C,Pyridine","Ar-Alkenyl,Ar-R,Ar-Cl,R-Carbamate_NR,R-C=C,Pyridine|Bn-OH",77.0,OCc1ccccc1.CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1>>CCOC(=O)N1CCC(=C2c3ccc(OCc4ccccc4)cc3CCc3cccnc32)CC1,NiBr2(dme),17217-57-1,DBU,DMF,TBACl,,,0.0
Ar-Br|RCH2-OH -> Ar-OR || AromN-H|Indole,False,RCH2-OH,,RCH2-OH,71.0,CO.[Na].Brc1ccc2[nH]c3ccccc3c2c1>>COc1ccc2[nH]c3ccccc3c2c1,CuI,,,MeOH / DMF,,,,-0.9998313184253594
Ar-Cl|Ar-NH2|R2CH-CO2H|RCH2-OH -> Ar-OR|R2CH-CONHR || Quinoline|R-H-acidic|RCH2-NBoc,False,RCH2-OH,"Ar-Cl,Ar-NH2,Quinoline","Ar-Cl,Ar-NH2,Quinoline|RCH2-OH",79.0,CO.Nc1cccc2c(Cl)ccnc12.CC(C)(C)OC(=O)N1CCC(C(=O)O)C1>>COc1ccnc2c(NC(=O)C3CCN(C(=O)OC(C)(C)C)C3)cccc12,DMAP,,NaH,water / DCM,NH4Cl,EDCI·HCl,,0.0
Ar-Cl|Ar-NH2|Ar-OH|R2CH-CO2H -> Ar-OR|R2CH-CONHR || Quinoline|R-H-acidic|RCH2-NBoc,False,Ar-OH,"Ar-Cl,Ar-NH2,Quinoline","Ar-Cl,Ar-NH2,Quinoline|Ar-OH",75.0,Oc1ccccc1.Nc1cccc2c(Cl)ccnc12.CC(C)(C)OC(=O)N1CCC(C(=O)O)C1>>CC(C)(C)OC(=O)N1CCC(C(=O)Nc2cccc3c(Oc4ccccc4)ccnc23)C1,DMAP,,NaH,DMF / water / DCM,NH4Cl,EDCI·HCl,,0.0
Ar-Cl|Ar-OH -> Ar-OR || Alkenyl-CO2R|Alkenyl-OR|Ar-Alkenyl|Ar-CN|Ar-OR|Pyrimidine,False,"Ar-CN,Ar-OH","Ar-Alkenyl,Ar-Cl,Ar-OR,Alkenyl-CO2R,Alkenyl-OR,Pyrimidine","Ar-Alkenyl,Ar-Cl,Ar-OR,Alkenyl-CO2R,Alkenyl-OR,Pyrimidine|Ar-CN,Ar-OH",99.0,N#Cc1ccccc1O.CO/C=C(/C(=O)OC)c1ccccc1Oc1cc(Cl)ncn1>>CO/C=C(/C(=O)OC)c1ccccc1Oc1cc(Oc2ccccc2C#N)ncn1,Trimethylamine,,K2CO3,PhMe / water,,,,0.0
Ar-Bpin|Ar-Cl|R3C-OH -> Ar-Ar|Ar-OR || Bn-NR2|Pyrimidine|R-AromN,False,"Bn-NR2,R3C-OH","Ar-Cl,Pyrimidine","Ar-Cl,Pyrimidine|Bn-NR2,R3C-OH",88.0,C[C@@]1(O)C[C@H]2CN(Cc3ccccc3)C[C@H]21.Clc1cn2nccc2c(Cl)n1.Cn1cc(B2OC(C)(C)C(C)(C)O2)cn1>>Cn1cc(-c2cn3nccc3c(O[C@]3(C)C[C@H]4CN(Cc5ccccc5)C[C@H]43)n2)cn1,905459-27-0,,KOtBu / K2CO3,"THF / water / 1,4-Dioxane",,,,0.0
Ar-Cl|RCH2-OH -> Ar-OR || Ar-CN|Ar-R|Pyridine|R-H-acidic|RCH2-CONHR,False,"Ar-R,Ar-Cl,Ar-CN,Pyridine","R-H-acidic,Ar-R,RCH2-OH,RCH2-CONHR","Ar-R,Ar-Cl,Ar-CN,Pyridine|R-H-acidic,Ar-R,RCH2-OH,RCH2-CONHR",87.0,Cc1cc(C)c(C#N)c(Cl)n1.Cc1ccc(NC(=O)CO)cc1>>Cc1ccc(NC(=O)COc2nc(C)cc(C)c2C#N)cc1,56-37-1,,NaOH,DCM / water,,,,0.7071067811865476
Ar-Cl|RCH2-OH -> Ar-OR || Ar-CN|Ar-OR|Ar-R|Pyridine|R-H-acidic|RCH2-CONHR,False,"Ar-R,Ar-Cl,Ar-CN,Pyridine","R-H-acidic,Ar-OR,RCH2-OH,RCH2-CONHR","Ar-R,Ar-Cl,Ar-CN,Pyridine|R-H-acidic,Ar-OR,RCH2-OH,RCH2-CONHR",79.0,Cc1cc(C)c(C#N)c(Cl)n1.COc1ccc(NC(=O)CO)cc1>>COc1ccc(NC(=O)COc2nc(C)cc(C)c2C#N)cc1,56-37-1,,NaOH,DCM / water,,,,0.0
Ar-Cl|RCH2-OH -> Ar-OR || Ar-CN|Ar-R|Pyridine|R-H-acidic|RCH2-CONHR,False,"R-H-acidic,RCH2-OH,RCH2-CONHR","Ar-R,Ar-Cl,Ar-CN,Pyridine","Ar-R,Ar-Cl,Ar-CN,Pyridine|R-H-acidic,RCH2-OH,RCH2-CONHR",84.0,O=C(CO)Nc1ccccc1.Cc1cc(C)c(C#N)c(Cl)n1>>Cc1cc(C)c(C#N)c(OCC(=O)Nc2ccccc2)n1,56-37-1,,NaOH,DCM / water,,,,0.0
Ar-Cl|RCH2-OH -> Ar-OR || Ar-CN|Ar-R|Pyridine|R-H-acidic|RCH2-CONHR,False,"Ar-R,Ar-Cl,Ar-CN,Pyridine","R-H-acidic,Ar-R,RCH2-OH,RCH2-CONHR","Ar-R,Ar-Cl,Ar-CN,Pyridine|R-H-acidic,Ar-R,RCH2-OH,RCH2-CONHR",81.0,Cc1cc(C)c(C#N)c(Cl)n1.CCc1ccc(NC(=O)CO)cc1>>CCc1ccc(NC(=O)COc2nc(C)cc(C)c2C#N)cc1,56-37-1,,NaOH,DCM / water,,,,-0.7071067811865476
Ar-Cl|RCH2-OH -> Ar-OR || Ar-CN|Ar-Cl|Ar-R|Pyridine|R-H-acidic|RCH2-CONHR,False,"Ar-R,Ar-Cl,Ar-CN,Pyridine","R-H-acidic,Ar-R,Ar-Cl,RCH2-OH,RCH2-CONHR","Ar-R,Ar-Cl,Ar-CN,Pyridine|R-H-acidic,Ar-R,Ar-Cl,RCH2-OH,RCH2-CONHR",88.0,Cc1cc(C)c(C#N)c(Cl)n1.Cc1ccc(NC(=O)CO)cc1Cl>>Cc1cc(C)c(C#N)c(OCC(=O)Nc2ccc(C)c(Cl)c2)n1,56-37-1,,NaOH,DCM / water,,,,0.0
Ar-Cl|RCH2-OH -> Ar-OR || Ar-CN|Ar-R|Bn-OR|Pyridine|R-H-acidic|RCH2-CONHR,False,"Ar-R,Ar-Cl,Ar-CN,Bn-OR,Pyridine","R-H-acidic,Ar-R,RCH2-OH,RCH2-CONHR","Ar-R,Ar-Cl,Ar-CN,Bn-OR,Pyridine|R-H-acidic,Ar-R,RCH2-OH,RCH2-CONHR",75.0,COCc1cc(C)nc(Cl)c1C#N.Cc1ccc(NC(=O)CO)cc1>>COCc1cc(C)nc(OCC(=O)Nc2ccc(C)cc2)c1C#N,56-37-1,,NaOH,DCM / water,,,,0.0
Ar-Cl|RCH2-OH -> Ar-OR || Ar-CN|Ar-OR|Ar-R|Bn-OR|Pyridine|R-H-acidic|RCH2-CONHR,False,"Ar-R,Ar-Cl,Ar-CN,Bn-OR,Pyridine","R-H-acidic,Ar-OR,RCH2-OH,RCH2-CONHR","Ar-R,Ar-Cl,Ar-CN,Bn-OR,Pyridine|R-H-acidic,Ar-OR,RCH2-OH,RCH2-CONHR",78.0,COCc1cc(C)nc(Cl)c1C#N.COc1ccccc1NC(=O)CO>>COCc1cc(C)nc(OCC(=O)Nc2ccccc2OC)c1C#N,56-37-1,,NaOH,DCM / water,,,,0.0
Ar-Cl|RCH2-OH -> Ar-OR || Ar-CN|Ar-R|Bn-OR|Pyridine|R-H-acidic|RCH2-CONHR,False,"R-H-acidic,RCH2-OH,RCH2-CONHR","Ar-R,Ar-Cl,Ar-CN,Bn-OR,Pyridine","Ar-R,Ar-Cl,Ar-CN,Bn-OR,Pyridine|R-H-acidic,RCH2-OH,RCH2-CONHR",75.0,O=C(CO)Nc1ccccc1.COCc1cc(C)nc(Cl)c1C#N>>COCc1cc(C)nc(OCC(=O)Nc2ccccc2)c1C#N,56-37-1,,NaOH,DCM / water,,,,0.0
Ar-Cl|RCH2-OH -> Ar-OR || Ar-COR|Ar-R|R-H-acidic,False,"R-H-acidic,Ar-Cl,Ar-COR","Ar-R,RCH2-OH","Ar-R,RCH2-OH|R-H-acidic,Ar-Cl,Ar-COR",89.0,CC(=O)c1ccc(Cl)cc1.OCCCCc1ccccc1>>CC(=O)c1ccc(OCCCCc2ccccc2)cc1,NiBr2,dtbbpy,DBU,PhMe,,,,-0.44022545316281314
Ar-Br|RCH2-OH -> Ar-OR || Ar-R,False,"Ar-R,Ar-Br","Ar-R,RCH2-OH","Ar-R,Ar-Br|Ar-R,RCH2-OH",83.0,Cc1ccc(Br)cc1.OCCCCc1ccccc1>>Cc1ccc(OCCCCc2ccccc2)cc1,NiBr2,dtbbpy,DBU,PhMe,,,,0.18534061896456464
Ar-Br|RCH2-OH -> Ar-OR || Ar-OR|Ar-R,False,"Ar-Br,Ar-OR","Ar-R,RCH2-OH","Ar-Br,Ar-OR|Ar-R,RCH2-OH",82.0,COc1ccc(Br)cc1.OCCCCc1ccccc1>>COc1ccc(OCCCCc2ccccc2)cc1,NiBr2,dtbbpy,DBU,PhMe,,,,0.601293426590178
Ar-Br|RCH2-OH -> Ar-OR || Ar-R|Bn-OR,False,"Ar-R,RCH2-OH","Ar-Br,Bn-OR","Ar-Br,Bn-OR|Ar-R,RCH2-OH",82.0,OCCCCc1ccccc1.Brc1ccc(OCc2ccccc2)cc1>>c1ccc(CCCCOc2ccc(OCc3ccccc3)cc2)cc1,NiBr2,dtbbpy,DBU,PhMe,,,,0.0
Ar-Br|RCH2-OH -> Ar-OR || Ar-R,False,"Ar-R,RCH2-OH","Ar-R,Ar-Br","Ar-R,Ar-Br|Ar-R,RCH2-OH",89.0,OCCCCc1ccccc1.CC(C)(C)c1ccc(Br)cc1>>CC(C)(C)c1ccc(OCCCCc2ccccc2)cc1,NiBr2,dtbbpy,DBU,PhMe,,,,0.9267030948228231
