reaction_smiles,reaction_label,spectator_groups
Cc1cccc(N)c1.FC(F)(F)c1cccc(I)c1>>Cc1cccc(Nc2cccc(C(F)(F)F)c2)c1,Ar–I + Ar–NH2 → Ar–NH–Ar,
[2H]C([2H])([2H])NC(=O)c1nnc(Cl)cc1Cl.COc1c(N)cccc1-c1cccnn1>>[2H]C([2H])([2H])NC(=O)c1nnc(Cl)cc1Nc1cccc(-c2cccnn2)c1OC,HeteroAr–Cl + Ar–NH2 → HeteroAr–NH–Ar,amide; aryl_halide; heteroaryl_nitrogen; heteroaryl_nitrogen; ether; heteroaryl_nitrogen; heteroaryl_nitrogen
CCOC(=O)c1csc(Br)n1.COc1cccc(-c2n[nH]cc2Br)c1>>CCOC(=O)c1csc(-n2cc(Br)c(-c3cccc(OC)c3)n2)n1,HeteroAr–Br + AromN–H → HeteroAr–AromN,heteroaryl_nitrogen; ester; heteroaryl_nitrogen; aryl_halide; ether
O=C1CCCN1.Cc1nc(-c2ccc(Br)cc2)cs1>>Cc1nc(-c2ccc(N3CCCC3=O)cc2)cs1,Ar–Br + R–C(O)–NHR → Ar–N(C(O)–R)(R),heteroaryl_nitrogen
Nc1ccc(C(=O)O)cc1.Clc1nc(Cl)c2ncn(C3CCCC3)c2n1>>O=C(O)c1ccc(Nc2nc(Cl)nc3c2ncn3C2CCCC2)cc1,HeteroAr–Cl + Ar–NH2 → HeteroAr–NH–Ar,carboxylic_acid; heteroaryl_nitrogen; aryl_halide; heteroaryl_nitrogen; heteroaryl_nitrogen; heteroaryl_nitrogen
Cc1cccc(N)c1.O=c1[nH]c(-c2ccccc2Br)no1>>Cc1cccc(-n2nc(N)c3ccccc32)c1,(Ar–Br + Ar–NH2) OR (intramolecular Ar–Br / AromN–H) →,
CCN1CCN(c2ccc(N)cc2)CC1.CS(=O)(=O)Nc1cccc(-c2csc3cnc(Cl)nc23)c1>>CCN1CCN(c2ccc(Nc3ncc4scc(-c5cccc(NS(C)(=O)=O)c5)c4n3)cc2)CC1,HeteroAr–Cl + Ar–NH2 → HeteroAr–NH–Ar,tertiary_amine; tertiary_amine; heteroaryl_nitrogen; heteroaryl_nitrogen; sulfonamide
O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1.Fc1ccc(-c2ccncc2)cc1>>O=[N+]([O-])c1ccc(-[n+]2ccc(-c3ccc(F)cc3)cc2)c([N+](=O)[O-])c1.[Cl-],,
Nc1ccc(Br)cc1.COC(=O)/C(=C\N(C)C)C(=O)c1cccnc1Cl>>COC(=O)c1cn(-c2ccc(Br)cc2)c2ncccc2c1=O,(HeteroAr–Cl + Ar–NH2) OR (R2C=O + Ar–NH2) OR (intramolecular Ar–Br / Ar–NH2) →,
COc1ccc(N)cc1.COC(=O)/C(=C\N(C)C)C(=O)c1cccnc1Cl>>COC(=O)c1cn(-c2ccc(OC)cc2)c2ncccc2c1=O,(HeteroAr–Cl + Ar–NH2) OR (R2C=O + Ar–NH2) →,
