canonical_reaction_smiles,reaction_display_label_detailed,original_reaction_type,detected_reaction_family,detection_status
O=Cc1c(Cl)ccc(Br)c1F.SC12CC3CC(CC(C3)C1)C2>>O=Cc1c(Cl)ccc(Br)c1SC12CC3CC(CC(C3)C1)C2,Ar–F + R–SH → Ar–S–R; edits: C–F bond cleavage; C–S bond formation; S–H loss,C_S_Coupling,c_s_coupling,family_overlay
O=Cc1c(I)ccc(Cl)c1F.SC12CC3CC(CC(C3)C1)C2>>O=Cc1c(I)ccc(Cl)c1SC12CC3CC(CC(C3)C1)C2,Ar–F + R–SH → Ar–S–R; edits: C–F bond cleavage; C–S bond formation; S–H loss,C_S_Coupling,c_s_coupling,family_overlay
CCCCCCCCCCS.Cc1cc(C)nc(Cl)n1>>CCCCCCCCCCSc1nc(C)cc(C)n1,HeteroAr–Cl + R–SH → HeteroAr–S–R; edits: C–Cl bond cleavage; C–S bond formation; S–H loss,C_S_Coupling,c_s_coupling,family_overlay
COC(=O)CCS.Cn1cc(-c2nn(C3CCCCO3)c3cc(I)ccc23)cn1>>COC(=O)CCSc1ccc2c(-c3cnn(C)c3)nn(C3CCCCO3)c2c1,Ar–I + R–SH → Ar–S–R; edits: C–I bond cleavage; C–S bond formation; S–H loss,C_S_Coupling,c_s_coupling,family_overlay
Cc1cccc(S)c1.O=[N+]([O-])c1c(CS(=O)(=O)c2ccccc2)nc2c(Br)cc(Cl)cn12>>Cc1cccc(Sc2cc(Cl)cn3c([N+](=O)[O-])c(CS(=O)(=O)c4ccccc4)nc23)c1,HeteroAr–Br + Ar–SH → HeteroAr–S–Ar; edits: C–Br bond cleavage; C–S bond formation; S–H loss,C_S_Coupling,c_s_coupling,family_overlay
O=[N+]([O-])c1c(CS(=O)(=O)c2ccccc2)nc2c(Br)cc(Cl)cn12.SCc1ccc(Cl)cc1>>O=[N+]([O-])c1c(CS(=O)(=O)c2ccccc2)nc2c(SCc3ccc(Cl)cc3)cc(Cl)cn12,HeteroAr–Br + R–SH → HeteroAr–S–R; edits: C–Br bond cleavage; C–S bond formation; S–H loss,C_S_Coupling,c_s_coupling,family_overlay
COc1ccc(I)cc1.Nc1ccc(S)cc1>>COc1ccc(Sc2ccc(N)cc2)cc1,Ar¹–I + Ar²–SH → Ar¹–S–Ar²; edits: C–I bond cleavage; C–S bond formation; S–H loss,C_S_Coupling,c_s_coupling,family_overlay
Brc1cccc2c1sc1ccccc12.Cc1ccc(S)cc1>>Cc1ccc(Sc2cccc3c2sc2ccccc23)cc1,Ar¹–Br + Ar²–SH → Ar¹–S–Ar²; edits: C–Br bond cleavage; C–S bond formation; S–H loss,C_S_Coupling,c_s_coupling,family_overlay
CN(C)c1ncc(Br)cn1.Cc1ccc(S)cc1>>Cc1ccc(Sc2cnc(N(C)C)nc2)cc1,HeteroAr–Br + Ar–SH → HeteroAr–S–Ar; edits: C–Br bond cleavage; C–S bond formation; S–H loss,C_S_Coupling,c_s_coupling,family_overlay
Cc1ccc(S)cc1.O=Cc1c(Cl)ccnc1Cl>>Cc1ccc(Sc2ccnc(Sc3ccc(C)cc3)c2C=O)cc1,(HeteroAr–Cl + Ar–H) OR (HeteroAr–Cl + Ar–SH) OR (intramolecular HeteroAr–Cl / HeteroAr–H) →,C_S_Coupling,,ambiguous_reactants
CCOC(=O)Nc1cn2cc(Cl)ccc2n1.CCS>>CCOC(=O)Nc1cn2cc(SCC)ccc2n1,HeteroAr–Cl + R–SH → HeteroAr–S–R; edits: C–Cl bond cleavage; C–S bond formation; S–H loss,C_S_Coupling,c_s_coupling,family_overlay
CCc1cnc2c(Br)cccc2c1.CS.[Na]>>CCc1cnc2c(SC)cccc2c1,Ar–Br + R–SH → Ar–S–R; edits: C–Br bond cleavage; C–S bond formation; S–H loss,C_S_Coupling,c_s_coupling,family_overlay
COc1ccc(S)cc1OC.COc1cccnc1Br>>COc1ccc(Sc2ncccc2OC)cc1OC,HeteroAr–Br + Ar–SH → HeteroAr–S–Ar; edits: C–Br bond cleavage; C–S bond formation; S–H loss,C_S_Coupling,c_s_coupling,family_overlay
COc1cc(C(F)(F)F)ccc1Br.Cc1ccc(S)cc1>>COc1cc(C(F)(F)F)ccc1Sc1ccc(C)cc1,Ar¹–Br + Ar²–SH → Ar¹–S–Ar²; edits: C–Br bond cleavage; C–S bond formation; S–H loss,C_S_Coupling,c_s_coupling,family_overlay
COC(=O)CCS.COC(=O)c1ccc(Br)cc1C(F)(F)F>>COC(=O)CCSc1ccc(C(=O)OC)c(C(F)(F)F)c1,Ar–Br + R–SH → Ar–S–R; edits: C–Br bond cleavage; C–S bond formation; S–H loss,C_S_Coupling,c_s_coupling,family_overlay
COC(=O)CCS.COC(=O)c1cccc(Br)n1>>COC(=O)CCSc1cccc(C(=O)OC)n1,HeteroAr–Br + R–SH → HeteroAr–S–R; edits: C–Br bond cleavage; C–S bond formation; S–H loss,C_S_Coupling,c_s_coupling,family_overlay
CC(C)S.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)c1c(F)c(F)c(F)c(F)c1F>>CC(C)Sc1c(F)c(F)c(S(=O)(=O)NS(=O)(=O)C(F)(F)F)c(F)c1F,Ar–F + R–SH →,C_S_Coupling,,reactant_only
CCCCCCCCS.CCn1cnc2c(Cl)ncnc21>>CCCCCCCCSc1ncnc2c1ncn2CC,HeteroAr–Cl + R–SH → HeteroAr–S–R; edits: C–Cl bond cleavage; C–S bond formation; S–H loss,C_S_Coupling,c_s_coupling,family_overlay
